frameid,x1,y1,x2,y2
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,570,891
44,0,0,604,844
45,0,0,731,814
46,0,83,776,788
47,2,144,868,762
48,5,121,974,756
49,80,160,1010,745
50,235,211,1058,729
51,358,254,1110,721
52,472,285,1153,710
53,570,297,1184,706
54,663,292,1215,703
55,712,369,1250,698
56,772,390,1268,697
57,829,452,1292,697
58,878,425,1306,692
59,914,440,1327,691
60,949,466,1317,693
61,982,474,1339,688
62,998,489,1359,685
63,1036,493,1372,681
64,1052,506,1381,682
65,1073,514,1388,680
66,1097,522,1394,678
67,1110,527,1398,676
68,1131,536,1406,675
69,1152,543,1410,674
70,1157,544,1414,669
71,1170,546,1417,666
72,1181,551,1424,663
73,1194,550,1427,662
74,1205,551,1431,658
75,1214,553,1435,655
76,1224,555,1438,655
77,1232,556,1437,649
78,1240,557,1442,646
79,1249,558,1442,645
80,1256,557,1449,641
81,1264,559,1446,639
82,1270,556,1449,634
83,1276,556,1452,632
84,1285,557,1458,628
85,1288,554,1460,623
86,1294,553,1459,621
87,1299,550,1461,617
88,1302,548,1465,614
89,1313,547,1455,611
90,1314,545,1459,610
91,1318,543,1463,606
92,1321,539,1468,603
93,1325,539,1470,599
94,1331,537,1471,594
95,1336,534,1472,595
96,1338,533,1474,590
97,1344,528,1477,587
98,1347,529,1477,583
99,1351,526,1477,581
100,1363,527,1465,576
101,1363,523,1468,573
102,1362,522,1488,573
103,1363,520,1480,569
104,1369,515,1488,567
105,1379,519,1486,564
106,1384,515,1490,561
107,1389,515,1486,559
108,1388,513,1488,557
109,1397,513,1487,554
110,1394,511,1490,553
111,1399,510,1489,551
112,1395,507,1497,550
113,1402,507,1496,548
114,1403,506,1498,547
115,1410,505,1503,544
116,1414,503,1499,541
117,1417,497,1501,539
118,1421,497,1502,537
119,1424,494,1502,536
120,1426,497,1506,535
121,1426,495,1504,534
122,1427,492,1507,533
123,1430,492,1507,529
124,1433,494,1505,530
125,1436,494,1506,529
126,1439,491,1503,528
127,1437,491,1506,526
128,1434,491,1509,527
129,1437,490,1511,526
130,1440,488,1512,525
131,1443,489,1512,522
132,1447,488,1510,521
133,1447,487,1512,521
134,1447,487,1511,519
135,1450,486,1512,517
136,1450,484,1511,515
137,1452,482,1515,515
138,1450,483,1517,515
139,1455,480,1515,514
140,1457,480,1517,513
141,1457,480,1517,512
142,1458,479,1521,508
143,1461,474,1524,506
144,1466,476,1518,503
145,1465,473,1522,504
146,1462,473,1522,501
147,1468,471,1524,499
148,1466,470,1525,499
149,1469,469,1523,496
150,1469,464,1526,497
151,1469,464,1526,498
152,1472,463,1525,495
153,1473,463,1527,494
154,1472,461,1528,493
155,1472,461,1531,492
156,1475,459,1530,490
157,1471,459,1529,489
158,1471,458,1528,488
159,1472,456,1529,488
160,1472,456,1532,488
161,1473,455,1531,487
162,1475,455,1529,484
163,1476,454,1529,484
164,1474,452,1526,485
165,1474,452,1524,485
166,1472,452,1521,483
167,1468,451,1520,484
168,1465,448,1519,484
169,1462,448,1516,481
170,1459,447,1513,481
171,1455,448,1508,481
172,1452,448,1507,480
173,1451,448,1500,478
174,1444,448,1499,479
175,1442,445,1496,477
176,1438,445,1493,480
177,1431,445,1488,480
178,1430,443,1485,479
179,1423,443,1478,476
180,1417,442,1471,474
181,1415,441,1466,475
182,1406,441,1465,475
183,1400,442,1457,471
184,1395,441,1448,471
185,1388,440,1443,471
186,1381,439,1438,471
187,1377,440,1430,470
188,1369,437,1425,470
189,1362,437,1417,470
190,1361,440,1408,471
191,1353,439,1402,470
192,1343,438,1398,471
193,1339,437,1393,470
194,1331,439,1386,470
195,1324,438,1380,468
196,1317,440,1373,470
197,1312,437,1367,471
198,1309,438,1364,470
199,1301,439,1357,472
200,1296,438,1353,473
201,1291,441,1346,472
202,1282,440,1342,474
203,1280,442,1338,473
204,1275,443,1332,472
205,1273,442,1328,474
206,1267,442,1325,475
207,1265,445,1322,477
208,1260,443,1318,476
209,1257,447,1314,476
210,1255,445,1311,477
211,1251,446,1310,477
212,1248,447,1300,479
213,1249,449,1297,478
214,1246,449,1297,479
215,1241,450,1292,480
216,1237,452,1290,480
217,1234,451,1293,481
218,1231,451,1289,481
219,1229,451,1287,482
220,1225,452,1283,483
221,1225,455,1281,484
222,1222,454,1276,484
223,1221,455,1274,484
224,1220,457,1273,483
225,1217,456,1270,484
226,1219,455,1268,485
227,1213,456,1266,485
228,1216,458,1262,487
229,1213,460,1261,488
230,1208,459,1260,487
231,1205,460,1260,489
232,1204,458,1259,490
233,1203,460,1255,491
234,1203,461,1253,491
235,1198,463,1251,491
236,1200,464,1247,491
237,1198,465,1246,492
238,1194,467,1242,493
239,1193,466,1239,495
240,1193,467,1236,497
241,1188,468,1236,498
242,1185,470,1232,498
243,1182,470,1230,498
244,1178,470,1227,499
245,1174,471,1226,501
246,1172,474,1223,502
247,1169,474,1219,502
248,1169,474,1214,502
249,1164,475,1212,503
250,1160,477,1207,505
251,1158,477,1203,505
252,1153,479,1200,506
253,1150,481,1196,506
254,1146,482,1191,508
255,1143,482,1189,509
256,1138,482,1186,511
257,1134,484,1180,510
258,1131,486,1175,512
259,1128,487,1170,511
260,1123,488,1168,514
261,1120,488,1163,514
262,1114,489,1161,516
263,1110,490,1156,516
264,1107,491,1152,516
265,1103,491,1147,517
266,1096,493,1144,518
267,1094,495,1136,519
268,1092,495,1131,519
269,1085,497,1128,519
270,1082,498,1124,521
271,1077,498,1120,522
272,1078,499,1120,522
273,1070,499,1112,523
274,1067,501,1108,524
275,1064,503,1102,523
276,1059,502,1098,525
277,1056,504,1093,525
278,1054,502,1091,525
279,1050,503,1088,527
280,1045,505,1086,527
281,1039,505,1083,529
282,1038,506,1080,528
283,1033,507,1077,530
284,1031,507,1073,530
285,1030,509,1070,530
286,1028,507,1068,532
287,1024,508,1067,532
288,1020,507,1065,534
289,1018,510,1062,532
290,1016,511,1058,533
291,1015,511,1057,535
292,1013,512,1055,535
293,1011,511,1053,536
294,1008,512,1049,538
295,1008,514,1047,537
296,1004,514,1045,537
297,1003,515,1045,539
298,1001,515,1042,540
299,1002,517,1040,540
300,1000,516,1040,539
301,998,518,1038,541
302,997,517,1037,542
303,997,519,1035,543
304,995,519,1034,543
305,996,519,1032,542
306,994,520,1032,544
307,994,522,1030,544
308,993,522,1029,544
309,991,523,1029,545
310,990,524,1027,545
311,991,525,1027,546
312,989,526,1026,547
313,989,526,1025,550
314,989,527,1026,549
315,989,526,1025,550
316,989,529,1024,551
317,987,528,1023,553
318,989,531,1022,552
319,989,530,1025,553
320,989,531,1025,553
321,989,532,1025,554
322,989,532,1025,555
323,990,533,1026,555
324,991,533,1027,556
325,991,534,1028,555
326,993,536,1026,557
327,994,537,1028,558
328,994,539,1028,559
329,993,538,1028,560
330,994,539,1029,561
331,998,540,1029,560
332,998,539,1028,561
333,997,541,1030,561
334,998,542,1030,561
335,998,542,1029,562
336,997,542,1031,563
337,996,542,1031,563
338,1000,543,1030,563
339,1004,545,1029,564
340,1002,545,1030,566
341,1002,545,1030,567
342,1001,546,1030,565
343,1001,547,1031,567
344,998,549,1031,567
345,1001,548,1030,567
346,1001,548,1030,568
347,1002,549,1028,569
348,1000,550,1029,568
349,1000,551,1029,569
350,1002,552,1029,569
351,1001,552,1029,570
352,998,550,1029,571
353,1000,551,1027,571
354,1000,553,1027,573
355,998,554,1027,572
356,999,554,1025,574
357,998,556,1024,573
358,997,555,1026,574
359,995,557,1024,575
360,997,558,1022,574
361,996,559,1022,575
362,994,559,1022,576
363,996,560,1022,578
364,995,561,1021,578
365,992,562,1021,578
366,992,561,1017,580
367,991,564,1017,579
368,990,565,1016,582
